iter	RMSE
0	14.25788571
1	13.39325716
2	12.58645514
3	11.93699013
4	11.30720026
5	10.67482449
6	10.11617449
7	9.637878705
8	9.213275707
9	8.827951178
10	8.462320586
11	8.121992965
12	7.82108309
13	7.531592366
14	7.336554928
15	7.144125531
16	6.946303777
17	6.748820241
18	6.594416285
19	6.451571791
20	6.314447521
21	6.204395821
22	6.110175974
23	6.026268303
24	5.931011075
25	5.855658262
26	5.779218849
27	5.720247019
28	5.670920123
29	5.616622056
30	5.567126614
31	5.528431849
32	5.491659601
33	5.460199026
34	5.421744484
35	5.385650865
36	5.354852497
37	5.332050592
38	5.311286075
39	5.291607559
40	5.269089614
41	5.255112138
42	5.239794538
43	5.216729268
44	5.199113085
45	5.187146833
46	5.172744262
47	5.156910987
48	5.141556848
49	5.124144185
50	5.118272485
51	5.106295337
52	5.087542765
53	5.075658017
54	5.064469454
55	5.046630324
56	5.025614648
57	5.014338494
58	5.004897006
59	4.990892638
60	4.980966305
61	4.975939576
62	4.963017194
63	4.953008862
64	4.945509773
65	4.931132435
66	4.918553812
67	4.912448704
68	4.910207074
69	4.894009562
70	4.878755294
71	4.863358486
72	4.853957871
73	4.840540977
74	4.834171991
75	4.823790209
76	4.814282423
77	4.805596291
78	4.796060862
79	4.791489396
80	4.780095403
81	4.77310052
82	4.768700147
83	4.750953125
84	4.742750285
85	4.733716768
86	4.723326578
87	4.719015314
88	4.703475707
89	4.694920444
90	4.686427796
91	4.680037614
92	4.670351224
93	4.664196035
94	4.651499247
95	4.646755553
96	4.641682366
97	4.629558751
98	4.625193356
99	4.613249179
