iter	Passed	Remaining
0	137	137633
1	139	69852
2	141	47108
3	143	35732
4	145	28893
5	146	24346
6	148	21077
7	150	18656
8	152	16768
9	154	15259
10	156	14031
11	158	13030
12	160	12158
13	162	11441
14	164	10809
15	166	10250
16	168	9741
17	170	9285
18	172	8882
19	173	8520
20	176	8210
21	177	7911
22	179	7632
23	181	7377
24	183	7155
25	185	6957
26	187	6761
27	189	6593
28	192	6429
29	194	6275
30	196	6132
31	198	5996
32	200	5871
33	202	5753
34	204	5644
35	207	5545
36	209	5456
37	212	5371
38	214	5282
39	216	5200
40	219	5135
41	222	5070
42	224	5002
43	227	4940
44	229	4880
45	232	4827
46	235	4773
47	236	4699
48	238	4635
49	241	4583
50	243	4526
51	246	4489
52	248	4441
53	251	4398
54	253	4352
55	255	4311
56	258	4276
57	262	4260
58	264	4224
59	267	4192
60	270	4160
61	273	4134
62	276	4105
63	278	4073
64	281	4043
65	283	4012
66	286	3989
67	289	3970
68	292	3942
69	294	3915
70	297	3887
71	298	3851
72	301	3831
73	303	3799
74	305	3769
75	308	3746
76	310	3720
77	312	3694
78	314	3668
79	317	3651
80	319	3626
81	321	3600
82	323	3574
83	326	3555
84	327	3525
85	330	3511
86	331	3481
87	334	3466
88	336	3449
89	339	3432
90	341	3409
91	343	3389
92	346	3374
93	348	3356
94	350	3337
95	352	3318
96	355	3307
97	357	3291
98	359	3275
99	362	3258
100	364	3242
101	365	3216
102	367	3203
103	370	3190
104	373	3180
105	375	3169
106	378	3161
107	381	3150
108	383	3138
109	386	3125
110	388	3108
111	390	3096
112	392	3082
113	394	3067
114	397	3056
115	399	3042
116	402	3034
117	404	3025
118	407	3015
119	409	3005
120	412	2997
121	415	2989
122	417	2978
123	420	2968
124	422	2957
125	425	2949
126	427	2939
127	430	2932
128	433	2926
129	435	2916
130	438	2909
131	440	2899
132	443	2887
133	445	2877
134	447	2865
135	449	2855
136	451	2842
137	453	2833
138	455	2823
139	458	2816
140	460	2805
141	462	2794
142	464	2785
143	467	2776
144	469	2766
145	471	2758
146	473	2749
147	475	2739
148	478	2730
149	480	2722
150	483	2716
151	486	2711
152	488	2706
153	491	2698
154	493	2692
155	496	2686
156	498	2677
157	501	2671
158	503	2663
159	505	2654
160	507	2644
161	510	2638
162	512	2631
163	515	2626
164	516	2612
165	518	2606
166	520	2598
167	524	2595
168	526	2590
169	529	2585
170	532	2580
171	534	2574
172	537	2569
173	540	2564
174	543	2560
175	545	2554
176	548	2549
177	551	2545
178	553	2540
179	556	2534
180	558	2528
181	561	2522
182	563	2516
183	566	2512
184	569	2507
185	571	2500
186	573	2493
187	576	2488
188	578	2483
189	580	2475
190	583	2470
191	585	2465
192	587	2458
193	590	2451
194	593	2448
195	595	2443
196	598	2438
197	600	2430
198	601	2422
199	604	2417
200	606	2410
201	608	2403
202	610	2397
203	612	2391
204	615	2385
205	617	2379
206	619	2373
207	621	2368
208	624	2361
209	625	2354
210	628	2349
211	630	2342
212	632	2335
213	633	2328
214	636	2323
215	638	2316
216	640	2310
217	642	2303
218	644	2298
219	646	2293
220	649	2287
221	651	2282
222	653	2276
223	655	2269
224	656	2262
225	659	2257
226	660	2250
227	662	2244
228	664	2238
229	666	2232
230	669	2227
231	671	2223
232	674	2221
233	677	2216
234	679	2211
235	681	2207
236	684	2204
237	687	2200
238	689	2195
239	692	2191
240	694	2188
241	697	2183
242	699	2177
243	701	2173
244	703	2168
245	705	2163
246	707	2157
247	709	2152
248	711	2146
249	713	2141
250	715	2136
251	717	2130
252	719	2125
253	721	2120
254	723	2114
255	725	2108
256	727	2104
257	730	2099
258	731	2093
259	733	2088
260	735	2082
261	737	2077
262	740	2073
263	742	2071
264	745	2067
265	747	2063
266	750	2060
267	752	2056
268	755	2053
269	758	2050
270	760	2046
271	762	2041
272	764	2035
273	766	2030
274	767	2024
275	770	2020
276	772	2015
277	774	2010
278	775	2005
279	777	1999
280	779	1993
281	780	1988
282	782	1982
283	784	1976
284	785	1971
285	788	1967
286	789	1961
287	791	1956
288	792	1950
289	794	1945
290	796	1939
291	797	1934
292	799	1928
293	800	1922
294	802	1917
295	804	1912
296	806	1908
297	807	1901
298	808	1894
299	810	1890
300	811	1885
301	813	1879
302	815	1875
303	817	1870
304	818	1864
305	819	1858
306	821	1854
307	823	1849
308	824	1844
309	826	1839
310	828	1835
311	830	1830
312	832	1826
313	833	1821
314	835	1816
315	837	1812
316	838	1807
317	840	1803
318	842	1799
319	844	1794
320	846	1790
321	847	1784
322	848	1779
323	850	1774
324	851	1769
325	853	1765
326	856	1761
327	857	1757
328	859	1753
329	861	1749
330	863	1744
331	865	1740
332	866	1735
333	868	1732
334	870	1728
335	872	1724
336	874	1720
337	876	1715
338	877	1711
339	879	1707
340	881	1702
341	883	1699
342	884	1694
343	886	1691
344	888	1687
345	890	1682
346	891	1678
347	893	1674
348	894	1669
349	897	1665
350	899	1662
351	901	1659
352	903	1655
353	905	1652
354	907	1649
355	910	1646
356	913	1644
357	915	1642
358	918	1639
359	920	1637
360	923	1634
361	926	1632
362	928	1628
363	930	1626
364	932	1622
365	934	1618
366	936	1614
367	938	1611
368	940	1608
369	942	1605
370	944	1602
371	947	1599
372	949	1595
373	951	1593
374	953	1589
375	956	1586
376	957	1582
377	959	1579
378	962	1576
379	963	1572
380	966	1569
381	968	1566
382	970	1563
383	972	1560
384	974	1556
385	976	1553
386	980	1552
387	982	1549
388	985	1547
389	987	1544
390	989	1541
391	992	1539
392	995	1537
393	998	1535
394	1000	1533
395	1003	1530
396	1006	1528
397	1008	1525
398	1010	1522
399	1013	1520
400	1015	1516
401	1017	1513
402	1019	1510
403	1020	1506
404	1022	1502
405	1024	1498
406	1026	1495
407	1028	1491
408	1029	1487
409	1031	1484
410	1033	1480
411	1035	1477
412	1037	1474
413	1039	1470
414	1040	1467
415	1042	1464
416	1044	1460
417	1046	1456
418	1048	1453
419	1050	1450
420	1053	1448
421	1055	1445
422	1057	1442
423	1059	1438
424	1061	1436
425	1063	1433
426	1066	1430
427	1068	1427
428	1070	1424
429	1072	1422
430	1075	1419
431	1077	1416
432	1079	1413
433	1081	1410
434	1084	1408
435	1086	1405
436	1088	1402
437	1091	1399
438	1093	1397
439	1095	1394
440	1097	1391
441	1100	1389
442	1102	1386
443	1104	1383
444	1107	1380
445	1109	1377
446	1111	1375
447	1113	1372
448	1115	1369
449	1117	1365
450	1119	1362
451	1120	1358
452	1122	1355
453	1124	1352
454	1126	1349
455	1128	1346
456	1130	1343
457	1132	1339
458	1134	1337
459	1136	1334
460	1138	1330
461	1139	1327
462	1142	1324
463	1144	1321
464	1145	1318
465	1147	1315
466	1149	1312
467	1151	1308
468	1153	1305
469	1156	1303
470	1157	1300
471	1159	1297
472	1161	1294
473	1163	1291
474	1165	1288
475	1167	1284
476	1169	1281
477	1171	1279
478	1173	1276
479	1175	1273
480	1177	1270
481	1179	1267
482	1181	1264
483	1183	1262
484	1185	1259
485	1188	1256
486	1190	1253
487	1192	1250
488	1193	1247
489	1195	1244
490	1197	1241
491	1200	1239
492	1202	1236
493	1204	1234
494	1206	1231
495	1209	1228
496	1211	1226
497	1213	1223
498	1215	1220
499	1218	1218
500	1220	1215
501	1222	1213
502	1225	1210
503	1228	1208
504	1230	1205
505	1231	1202
506	1233	1199
507	1235	1196
508	1237	1193
509	1239	1190
510	1241	1188
511	1243	1185
512	1245	1182
513	1247	1179
514	1249	1176
515	1251	1173
516	1253	1170
517	1255	1168
518	1257	1165
519	1259	1162
520	1261	1159
521	1262	1156
522	1264	1153
523	1266	1150
524	1269	1148
525	1270	1145
526	1272	1142
527	1274	1139
528	1276	1136
529	1277	1133
530	1279	1130
531	1281	1127
532	1283	1124
533	1285	1121
534	1287	1118
535	1288	1115
536	1290	1112
537	1292	1109
538	1294	1107
539	1297	1105
540	1299	1102
541	1301	1099
542	1302	1096
543	1304	1093
544	1305	1089
545	1307	1087
546	1309	1084
547	1311	1081
548	1313	1079
549	1315	1076
550	1317	1073
551	1319	1070
552	1321	1067
553	1323	1065
554	1325	1062
555	1327	1060
556	1329	1057
557	1331	1054
558	1333	1051
559	1334	1048
560	1336	1045
561	1338	1043
562	1340	1040
563	1342	1037
564	1343	1034
565	1345	1031
566	1346	1028
567	1348	1025
568	1349	1022
569	1351	1019
570	1353	1016
571	1354	1013
572	1356	1010
573	1358	1008
574	1359	1004
575	1361	1002
576	1362	998
577	1363	995
578	1365	992
579	1367	989
580	1368	986
581	1369	983
582	1371	980
583	1372	977
584	1373	974
585	1375	971
586	1377	968
587	1378	966
588	1380	962
589	1382	960
590	1383	957
591	1385	954
592	1387	952
593	1389	949
594	1391	946
595	1392	944
596	1394	941
597	1395	938
598	1396	935
599	1398	932
600	1399	929
601	1401	926
602	1402	923
603	1404	920
604	1406	918
605	1408	915
606	1410	913
607	1412	910
608	1415	908
609	1417	906
610	1419	903
611	1421	901
612	1423	898
613	1425	896
614	1427	893
615	1428	890
616	1430	888
617	1432	885
618	1434	882
619	1435	880
620	1437	877
621	1439	874
622	1441	872
623	1443	869
624	1444	866
625	1446	864
626	1448	861
627	1450	858
628	1452	856
629	1455	854
630	1457	852
631	1460	850
632	1462	848
633	1466	846
634	1468	844
635	1470	841
636	1473	839
637	1475	837
638	1477	834
639	1480	832
640	1482	830
641	1484	827
642	1486	825
643	1488	822
644	1490	820
645	1492	817
646	1494	815
647	1495	812
648	1497	809
649	1499	807
650	1501	804
651	1502	802
652	1504	799
653	1506	797
654	1508	794
655	1510	791
656	1512	789
657	1515	787
658	1517	785
659	1520	783
660	1523	781
661	1526	779
662	1528	776
663	1530	774
664	1533	772
665	1535	770
666	1537	767
667	1539	765
668	1542	763
669	1545	761
670	1547	758
671	1550	756
672	1553	754
673	1556	752
674	1558	750
675	1561	748
676	1564	746
677	1565	743
678	1567	741
679	1570	739
680	1573	736
681	1575	734
682	1578	732
683	1580	730
684	1583	728
685	1585	725
686	1588	723
687	1590	721
688	1592	718
689	1595	716
690	1597	714
691	1599	711
692	1602	709
693	1605	707
694	1607	705
695	1610	703
696	1612	701
697	1614	698
698	1617	696
699	1619	694
700	1621	691
701	1624	689
702	1626	687
703	1628	684
704	1630	682
705	1632	679
706	1634	677
707	1636	674
708	1637	672
709	1639	669
710	1640	666
711	1642	664
712	1643	661
713	1644	658
714	1646	656
715	1647	653
716	1648	650
717	1649	647
718	1651	645
719	1652	642
720	1653	639
721	1654	637
722	1655	634
723	1657	631
724	1658	629
725	1660	626
726	1661	624
727	1663	621
728	1664	618
729	1665	616
730	1666	613
731	1668	610
732	1669	608
733	1670	605
